Signature Algorithm,Test Round,Rate Limit,Delay,Packet Loss,Success,Handshake Duration [ms]
sphincssha2256fsimple,46,10000.0,0,1,1,54.766589
sphincssha2256fsimple,47,10000.0,0,1,1,58.677052
sphincssha2256fsimple,48,10000.0,0,1,1,57.107785
sphincssha2256fsimple,49,10000.0,0,1,1,54.432584
sphincssha2256fsimple,50,10000.0,0,1,1,54.971714
sphincssha2256fsimple,51,10000.0,0,1,1,54.507558
sphincssha2256fsimple,52,10000.0,0,1,1,57.747403
sphincssha2256fsimple,53,10000.0,0,1,1,54.985194
sphincssha2256fsimple,54,10000.0,0,1,1,57.352121
sphincssha2256fsimple,55,10000.0,0,1,1,57.735451
sphincssha2256fsimple,56,10000.0,0,1,1,56.249930
sphincssha2256fsimple,57,10000.0,0,1,1,54.695077
sphincssha2256fsimple,58,10000.0,0,1,1,59.697924
sphincssha2256fsimple,59,10000.0,0,1,1,54.646037
sphincssha2256fsimple,60,10000.0,0,1,1,54.455958
sphincssha2256fsimple,61,10000.0,0,1,1,54.818234
sphincssha2256fsimple,62,10000.0,0,1,1,55.491784
sphincssha2256fsimple,63,10000.0,0,1,1,89.620479
sphincssha2256fsimple,64,10000.0,0,1,1,54.816813
sphincssha2256fsimple,65,10000.0,0,1,1,55.171996
sphincssha2256fsimple,66,10000.0,0,1,1,1069.444832
sphincssha2256fsimple,67,10000.0,0,1,1,54.990534
sphincssha2256fsimple,68,10000.0,0,1,1,57.384149
sphincssha2256fsimple,69,10000.0,0,1,1,54.455016
sphincssha2256fsimple,70,10000.0,0,1,1,1088.597242
sphincssha2256fsimple,71,10000.0,0,1,1,1093.717926
sphincssha2256fsimple,72,10000.0,0,1,1,54.777889
sphincssha2256fsimple,73,10000.0,0,1,1,55.798794
sphincssha2256fsimple,74,10000.0,0,1,1,54.828576
sphincssha2256fsimple,75,10000.0,0,1,1,55.183609
sphincssha2256fsimple,76,10000.0,0,1,1,54.809948
sphincssha2256fsimple,77,10000.0,0,1,1,54.321927
sphincssha2256fsimple,78,10000.0,0,1,1,57.357959
sphincssha2256fsimple,79,10000.0,0,1,1,54.842953
sphincssha2256fsimple,80,10000.0,0,1,1,54.472562
sphincssha2256fsimple,81,10000.0,0,1,1,55.303419
sphincssha2256fsimple,82,10000.0,0,1,1,55.884968
sphincssha2256fsimple,83,10000.0,0,1,1,56.989532
sphincssha2256fsimple,84,10000.0,0,1,1,55.754218
sphincssha2256fsimple,85,10000.0,0,1,1,56.974200
sphincssha2256fsimple,86,10000.0,0,1,1,55.335963
sphincssha2256fsimple,87,10000.0,0,1,1,54.855719
sphincssha2256fsimple,88,10000.0,0,1,1,55.513390
sphincssha2256fsimple,89,10000.0,0,1,1,62.289173
sphincssha2256fsimple,90,10000.0,0,1,1,55.462549
sphincssha2256fsimple,91,10000.0,0,1,1,55.520459
sphincssha2256fsimple,92,10000.0,0,1,1,57.816418
sphincssha2256fsimple,93,10000.0,0,1,1,55.040192
sphincssha2256fsimple,94,10000.0,0,1,1,55.368297
sphincssha2256fsimple,95,10000.0,0,1,1,54.752040
sphincssha2256fsimple,96,10000.0,0,1,1,54.449706
sphincssha2256fsimple,97,10000.0,0,1,1,54.452027
sphincssha2256fsimple,98,10000.0,0,1,1,54.925675
sphincssha2256fsimple,99,10000.0,0,1,1,57.557082
sphincssha2256fsimple,100,10000.0,0,1,1,54.652910
sphincssha2256fsimple,1,10000.0,0,2,1,56.118592
sphincssha2256fsimple,2,10000.0,0,2,1,54.684151
sphincssha2256fsimple,3,10000.0,0,2,1,57.423281
sphincssha2256fsimple,4,10000.0,0,2,1,54.985878
sphincssha2256fsimple,5,10000.0,0,2,1,285.908091
sphincssha2256fsimple,6,10000.0,0,2,1,55.536669
sphincssha2256fsimple,7,10000.0,0,2,1,59.026892
sphincssha2256fsimple,8,10000.0,0,2,1,276.691881
sphincssha2256fsimple,9,10000.0,0,2,1,56.030196
sphincssha2256fsimple,10,10000.0,0,2,1,54.830714
sphincssha2256fsimple,11,10000.0,0,2,1,56.431898
sphincssha2256fsimple,12,10000.0,0,2,1,54.553956
sphincssha2256fsimple,13,10000.0,0,2,1,55.748149
sphincssha2256fsimple,14,10000.0,0,2,1,54.930882
sphincssha2256fsimple,15,10000.0,0,2,1,57.514817
sphincssha2256fsimple,16,10000.0,0,2,1,54.536951
sphincssha2256fsimple,17,10000.0,0,2,1,54.660477
sphincssha2256fsimple,18,10000.0,0,2,1,54.601927
sphincssha2256fsimple,19,10000.0,0,2,1,54.865550
sphincssha2256fsimple,20,10000.0,0,2,1,54.466812
sphincssha2256fsimple,21,10000.0,0,2,1,54.747917
sphincssha2256fsimple,22,10000.0,0,2,1,58.099035
sphincssha2256fsimple,23,10000.0,0,2,1,56.026313
sphincssha2256fsimple,24,10000.0,0,2,1,54.809795
sphincssha2256fsimple,25,10000.0,0,2,1,59.327604
sphincssha2256fsimple,26,10000.0,0,2,1,90.276708
sphincssha2256fsimple,27,10000.0,0,2,1,243.728214
sphincssha2256fsimple,28,10000.0,0,2,1,54.910986
sphincssha2256fsimple,29,10000.0,0,2,1,54.473234
sphincssha2256fsimple,30,10000.0,0,2,1,55.194243
sphincssha2256fsimple,31,10000.0,0,2,1,54.488499
sphincssha2256fsimple,32,10000.0,0,2,1,56.673052
sphincssha2256fsimple,33,10000.0,0,2,1,55.259898
sphincssha2256fsimple,34,10000.0,0,2,1,54.848079
sphincssha2256fsimple,35,10000.0,0,2,1,55.431192
sphincssha2256fsimple,36,10000.0,0,2,1,54.441136
